timestamp;user;command;args;key
06/04/2025 19:42;joe;gcc;gcc --version;gcc_exec
06/04/2025 19:43;joe;su;su - user1;su_exec
06/04/2025 19:43;user1;gcc;gcc --version;gcc_exec
06/04/2025 19:43;user1;sudo;sudo ls;sudo_exec
06/04/2025 19:44;joe;sudo;sudo -i;sudo_exec
06/04/2025 19:44;root;gcc;gcc --version;gcc_exec
06/04/2025 19:44;root;find;find / -name passwd -type f;find_exec
07/04/2025 14:12;joe;sudo;sudo -i;sudo_exec
18/04/2025 16:07;joe;gcc;gcc vuln.c -o vuln;gcc_exec
18/04/2025 16:08;joe;chmod;chmod 777 vuln;chmod_exec
18/04/2025 16:09;joe;sudo;sudo chown root:root vuln;sudo_exec
18/04/2025 16:09;joe;sudo;sudo chmod 777 vuln;sudo_exec
18/04/2025 16:10;joe;sudo;sudo chmod u+s vuln;sudo_exec
18/04/2025 16:11;joe;sudo;sudo chmod u+s vuln;sudo_exec
18/04/2025 16:11;joe;gcc;gcc vuln.c -o vuln;gcc_exec
18/04/2025 16:12;joe;sudo;sudo chmod u+s vuln;sudo_exec
18/04/2025 16:12;joe;sudo;sudo chown root:root vuln;sudo_exec
18/04/2025 16:13;joe;sudo;sudo ls;sudo_exec
18/04/2025 16:13;joe;gcc;gcc --version;gcc_exec
26/02/2025 19:32;user03;gcc;gcc --version;gcc_exec
26/02/2025 19:35;user03;sudo;sudo -l;sudo_exec
26/02/2025 19:36;user03;sudo;sudo ls -la;sudo_exec
26/02/2025 19:38;user03;vim;vim vuln.c;vim_exec
26/02/2025 19:38;user03;gcc;gcc vuln.c -o vuln;gcc_exec
26/02/2025 19:39;user03;sudo;sudo chown root:root vuln;sudo_exec
26/02/2025 19:39;user03;sudo;sudo chmod u+s vuln;sudo_exec
03/04/2025 20:12;eva;vim;vim vuln.c;vim_exec
03/04/2025 20:13;eva;vim;vim vuln.c;vim_exec
03/04/2025 20:14;eva;gcc;gcc vuln.c -o vuln;gcc_exec
03/04/2025 20:15;eva;sudo;sudo chown root:root vuln;sudo_exec
03/04/2025 20:15;eva;sudo;sudo chmod u+s vuln;sudo_exec
21/04/2025 16:34;user03;su;su joe;su_exec
21/04/2025 16:51;joe;sudo;sudo date -s 2025-04-04 18:28:00;sudo_exec
04/04/2025 18:34;joe;ip;ip a;ip_exec
04/04/2025 18:35;joe;ip;ip a;ip_exec
04/04/2025 18:35;joe;python3;python3 --version;python3_exec
04/04/2025 18:35;joe;sudo;sudo -l;sudo_exec
04/04/2025 18:36;joe;su;su user03;su_exec
04/04/2025 18:36;user03;python3;python3 --version;python3_exec
04/04/2025 18:36;user03;chmod;chmod +x vuln.c;chmod_exec
17/03/2025 21:12;root;sudo;sudo -l;sudo_exec
17/03/2025 21:13;david;sudo;sudo -l;sudo_exec
17/03/2025 21:13;david;find;find / -perm -04000 -type f;find_exec
17/03/2025 21:13;david;sudo;sudo -i;sudo_exec
17/03/2025 21:14;david;sudo;sudo /bin/bash;sudo_exec
17/03/2025 21:14;root;id;id ;id_exec
17/03/2025 21:17;joe;su;su david;su_exec
17/03/2025 21:20;david;vim;vim pwnkit.c;vim_exec
17/03/2025 21:20;david;gcc;gcc pwnkit.c -o pwnkit;gcc_exec
17/03/2025 21:23;david;vim;vim pwnkit.c;vim_exec
17/03/2025 21:24;david;gcc;gcc pwnkit.c -o pwnkit;gcc_exec
17/03/2025 21:30;david;python3;python3 --version;python3_exec
17/03/2025 21:32;david;nano;nano wrapper.c;nano_exec
17/03/2025 21:33;david;gcc;gcc wrapper.c -o wrapper;gcc_exec
17/03/2025 21:33;david;chmod;chmod 4755 wrapper;chmod_exec
17/03/2025 21:33;david;id;id ;id_exec
17/03/2025 21:35;david;chown;chown root:root wrapper;chown_exec
17/03/2025 21:35;david;sudo;sudo chown root:root wrapper;sudo_exec
17/03/2025 21:37;david;find;find / -perm -4000 -type f;find_exec
17/03/2025 21:41;david;gcc;gcc rootbash.c -o rootbash;gcc_exec
17/03/2025 21:41;david;sudo;sudo chown root:root rootbash;sudo_exec
17/03/2025 21:41;david;sudo;sudo chmod 4755 rootbash;sudo_exec
17/03/2025 21:42;david;id;id ;id_exec
17/03/2025 21:46;david;sudo;sudo find / -user root -perm -4000;sudo_exec
17/03/2025 21:48;david;nano;nano ./rootbash;nano_exec
17/03/2025 21:48;david;nano;nano ./rootbash.c;nano_exec
17/03/2025 21:49;david;gcc;gcc rootbash.c -o roobash;gcc_exec
17/03/2025 21:50;david;sudo;sudo chown root:root rootbash;sudo_exec
17/03/2025 21:50;david;sudo;sudo chown root:root roobash;sudo_exec
17/03/2025 21:50;david;sudo;sudo chmod 4755 roobash;sudo_exec
17/03/2025 21:52;david;nano;nano /usr/local/bin/vuln.sh;nano_exec
17/03/2025 21:53;david;sudo;sudo nano /usr/local/bin/vuln.sh;sudo_exec
17/03/2025 21:53;david;chmod;chmod +x vuln.sh;chmod_exec
17/03/2025 21:54;david;chmod;chmod +x /usr/local/bin/vuln.sh;chmod_exec
17/03/2025 21:54;david;nano;nano ;nano_exec
17/03/2025 21:54;david;sudo;sudo nano /usr/local/bin/vuln.sh;sudo_exec
17/03/2025 21:55;david;sudo;sudo nano /usr/local/bin/vuln.sh;sudo_exec
17/03/2025 21:55;david;sudo;sudo nano /usr/local/bin/vuln.sh;sudo_exec
17/03/2025 21:59;david;gcc;gcc rootbash.c -o rootbash;gcc_exec
